@relation 'jEdit 5.5.0 new'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
0,1,0,1,0,0,4,no
7,3,35,19,1,94,194,no
2,0,4,3,2,16,74,no
3,0,4,3,2,0,71,no
12,0,15,12,3,62,148,no
8,0,20,10,1,60,388,no
16,1,63,47,2,92,416,no
7,0,2,2,1,0,12,no
19,0,50,18,1,85,232,no
1,0,0,1,1,0,3,no
6,0,10,6,2,66,108,no
4,0,4,9,3,0,30,no
14,0,26,17,3,80,229,no
0,1,30,17,2,81,154,no
0,1,35,21,2,78,156,no
2,0,12,7,2,42,89,no
6,0,20,18,3,83,267,no
8,0,30,10,2,84,363,no
1,0,33,20,2,83,135,no
4,1,42,19,1,72,241,no
18,1,68,35,2,35,318,no
4,0,17,10,2,80,152,no
6,0,20,3,1,50,146,no
2,0,7,3,1,0,93,no
10,2,54,24,3,81,399,no
9,0,16,14,3,64,214,no
7,0,6,10,3,33,95,no
1,6,9,7,2,71,70,no
10,0,10,12,3,56,130,no
1,0,7,6,2,61,39,no
2,0,24,9,2,78,190,no
4,0,8,5,2,60,40,no
3,0,1,1,1,0,65,no
0,1,1,1,2,0,8,no
4,1,7,14,3,0,75,no
5,0,7,11,3,70,98,no
0,1,1,5,3,0,8,no
1,0,88,19,1,84,436,no
7,0,8,8,1,0,57,no
1,0,2,2,1,0,12,no
9,1,49,30,2,37,223,no
0,6,6,7,1,41,33,no
3,2,14,7,1,45,75,no
7,3,36,18,1,63,182,no
7,0,13,14,2,71,117,no
2,0,1,1,1,0,7,no
2,0,9,7,1,53,41,no
9,1,58,27,1,89,287,no
1,0,1,6,2,0,7,no
1,0,4,9,2,50,20,no
1,0,1,6,2,0,7,no
2,1,3,12,3,0,15,no
1,0,2,7,2,0,11,no
2,0,2,7,2,0,18,no
1,0,1,6,2,0,7,no
1,0,29,15,1,80,192,no
2,2,21,13,1,71,106,no
2,0,22,13,2,30,158,no
9,0,5,22,3,56,136,no
1,0,3,29,4,0,17,no
1,0,8,20,3,33,108,no
1,0,4,30,4,50,30,no
3,0,3,20,3,33,33,no
6,0,13,20,3,33,105,no
2,0,3,20,3,33,74,no
2,0,10,20,3,33,200,no
7,0,10,32,4,0,61,no
8,0,15,27,3,79,253,no
2,0,3,3,1,0,17,no
0,0,3,1,2,0,20,no
1,0,9,20,3,41,68,no
8,0,13,24,3,46,343,no
1,0,9,20,3,33,90,no
3,0,3,20,3,33,73,no
7,0,10,22,3,58,438,no
4,0,5,22,3,70,201,no
6,0,4,20,3,33,372,no
16,0,23,13,3,58,288,no
1,0,3,20,3,33,24,no
6,0,7,20,3,37,237,no
4,0,24,11,2,59,154,no
4,0,12,3,2,44,81,no
13,0,32,6,1,69,271,no
5,0,7,4,1,12,63,no
6,0,25,5,1,30,140,no
14,0,20,12,2,50,101,no
8,0,8,13,3,66,305,no
4,0,24,23,2,85,126,no
3,0,16,11,2,77,72,no
0,1,0,0,2,0,3,no
0,0,11,5,2,100,52,no
0,0,5,5,1,19,28,no
0,0,3,3,1,0,16,no
1,0,34,20,1,76,170,no
1,0,1,1,2,0,9,no
5,0,22,4,2,41,107,no
4,0,10,19,2,44,73,no
5,0,10,7,1,71,49,no
0,0,4,3,1,33,27,no
3,0,30,10,1,74,158,no
21,0,27,21,2,60,223,no
26,0,46,23,2,83,867,no
11,0,11,2,1,0,46,no
3,0,7,7,1,42,75,no
2,0,5,5,2,60,38,no
2,0,20,5,1,55,226,no
0,0,5,1,1,0,24,no
0,0,13,9,1,22,66,no
0,0,1,5,2,0,8,no
0,0,8,8,1,59,41,no
6,0,18,6,1,16,116,no
4,0,1,269,3,0,12,no
2,0,69,17,1,29,347,no
5,0,19,28,2,0,87,no
0,0,1,5,2,0,8,no
0,0,1,1,2,0,7,no
0,10,6,4,1,0,28,no
